iter	Passed	Remaining
0	151	151445
1	155	77383
2	157	52293
3	159	39837
4	162	32352
5	165	27451
6	168	23882
7	170	21193
8	173	19108
9	176	17437
10	178	16075
11	181	14967
12	185	14053
13	187	13239
14	190	12522
15	193	11889
16	195	11293
17	198	10816
18	200	10373
19	203	9971
20	206	9621
21	209	9305
22	212	9008
23	215	8777
24	218	8519
25	221	8280
26	223	8063
27	226	7856
28	229	7685
29	232	7508
30	234	7340
31	237	7184
32	240	7036
33	242	6895
34	245	6775
35	248	6652
36	251	6533
37	253	6423
38	256	6317
39	259	6217
40	262	6132
41	264	6041
42	267	5952
43	270	5868
44	272	5787
45	275	5715
46	279	5658
47	282	5593
48	284	5528
49	287	5463
50	290	5398
51	292	5340
52	296	5289
53	298	5236
54	301	5182
55	304	5134
56	307	5088
57	310	5045
58	313	4997
59	315	4949
60	318	4903
61	321	4859
62	323	4816
63	326	4780
64	329	4738
65	332	4698
66	334	4659
67	337	4622
68	339	4586
69	342	4556
70	345	4522
71	348	4488
72	350	4454
73	354	4436
74	357	4408
75	360	4378
76	362	4349
77	365	4318
78	368	4290
79	370	4261
80	373	4236
81	376	4214
82	379	4188
83	382	4167
84	384	4142
85	387	4118
86	390	4096
87	393	4073
88	395	4050
89	398	4027
90	400	4005
91	403	3983
92	406	3963
93	409	3943
94	411	3924
95	414	3905
96	417	3885
97	419	3865
98	422	3848
99	425	3830
100	428	3811
101	430	3793
102	433	3775
103	436	3757
104	438	3740
105	441	3724
106	444	3707
107	446	3689
108	449	3673
109	451	3656
110	454	3641
111	457	3629
112	460	3613
113	463	3600
114	466	3587
115	468	3574
116	472	3564
117	474	3550
118	477	3536
119	480	3521
120	482	3506
121	485	3493
122	488	3484
123	491	3473
124	494	3461
125	497	3448
126	499	3435
127	502	3422
128	505	3411
129	507	3399
130	510	3387
131	513	3374
132	515	3362
133	518	3350
134	520	3334
135	523	3322
136	525	3310
137	528	3299
138	530	3287
139	533	3276
140	536	3268
141	539	3260
142	542	3250
143	545	3241
144	548	3233
145	551	3225
146	554	3216
147	557	3206
148	559	3197
149	562	3188
150	565	3179
151	568	3173
152	571	3163
153	574	3153
154	576	3144
155	579	3134
156	581	3124
157	585	3117
158	587	3108
159	590	3098
160	592	3089
161	595	3079
162	597	3070
163	601	3064
164	603	3055
165	606	3048
166	609	3038
167	611	3029
168	614	3020
169	617	3014
170	620	3006
171	622	2997
172	625	2989
173	627	2980
174	630	2971
175	633	2966
176	636	2959
177	638	2947
178	640	2939
179	643	2932
180	646	2924
181	649	2918
182	652	2914
183	655	2906
184	658	2899
185	661	2892
186	663	2886
187	666	2879
188	669	2872
189	672	2865
190	675	2859
191	676	2848
192	679	2842
193	683	2837
194	685	2831
195	689	2827
196	691	2820
197	694	2813
198	697	2807
199	700	2800
200	702	2793
201	705	2786
202	708	2779
203	710	2772
204	713	2767
205	716	2760
206	718	2753
207	721	2747
208	724	2740
209	726	2733
210	729	2727
211	732	2721
212	736	2720
213	739	2716
214	742	2710
215	745	2704
216	748	2699
217	750	2692
218	753	2686
219	755	2679
220	758	2674
221	761	2669
222	764	2662
223	766	2655
224	769	2650
225	772	2645
226	775	2640
227	778	2636
228	781	2630
229	783	2624
230	787	2621
231	790	2616
232	793	2610
233	796	2605
234	798	2600
235	801	2595
236	804	2590
237	807	2584
238	810	2580
239	813	2575
240	815	2569
241	818	2563
242	821	2557
243	823	2552
244	827	2549
245	830	2544
246	832	2538
247	835	2533
248	838	2527
249	840	2521
250	843	2517
251	846	2512
252	848	2506
253	851	2500
254	854	2495
255	856	2489
256	859	2485
257	862	2480
258	865	2476
259	868	2470
260	870	2465
261	873	2459
262	877	2457
263	880	2454
264	883	2449
265	885	2444
266	888	2439
267	891	2433
268	893	2429
269	896	2423
270	899	2418
271	901	2413
272	904	2408
273	907	2404
274	910	2400
275	913	2395
276	915	2390
277	918	2385
278	921	2380
279	924	2376
280	925	2368
281	928	2364
282	931	2360
283	934	2356
284	937	2350
285	940	2347
286	942	2340
287	944	2335
288	947	2330
289	950	2326
290	952	2321
291	955	2317
292	958	2313
293	961	2308
294	963	2302
295	966	2298
296	969	2293
297	972	2290
298	974	2285
299	977	2280
300	980	2276
301	982	2271
302	985	2266
303	988	2262
304	991	2258
305	993	2254
306	996	2250
307	999	2245
308	1002	2242
309	1005	2238
310	1008	2233
311	1011	2229
312	1013	2225
313	1016	2220
314	1019	2217
315	1022	2213
316	1025	2208
317	1027	2203
318	1030	2199
319	1032	2194
320	1035	2190
321	1038	2187
322	1041	2182
323	1044	2179
324	1048	2177
325	1052	2175
326	1055	2172
327	1058	2169
328	1062	2166
329	1065	2163
330	1069	2161
331	1072	2158
332	1075	2155
333	1079	2152
334	1082	2149
335	1086	2147
336	1089	2143
337	1092	2140
338	1095	2136
339	1098	2133
340	1102	2129
341	1105	2126
342	1108	2123
343	1112	2120
344	1115	2117
345	1118	2114
346	1121	2111
347	1125	2109
348	1128	2105
349	1131	2100
350	1135	2098
351	1138	2095
352	1141	2092
353	1144	2087
354	1146	2083
355	1151	2082
356	1154	2079
357	1157	2076
358	1160	2072
359	1163	2067
360	1167	2067
361	1170	2063
